date	Abdominal obesity	isPartial	Abdominal pain	Acne	Actinic keratosis	Acute bronchitis	Adrenal crisis	Ageusia	Alcoholism	Allergic conjunctivitis	Allergy	Amblyopia	Amenorrhea	Amnesia	Anal fissure	Anaphylaxis	Anemia	Angina pectoris	Angioedema	Angular cheilitis	Anosmia	Anxiety	Aphasia	Aphonia	Apnea	Arthralgia	Arthritis	Ascites	Asperger syndrome	Asphyxia	Asthma	Astigmatism	Ataxia	Atheroma	Attention deficit hyperactivity disorder	Auditory hallucination	Autoimmune disease	Avoidant personality disorder	Back pain	Bacterial vaginosis	Balance disorder	Beau's lines	Bell's palsy	Biliary colic	Binge eating	Bleeding	Bleeding on probing	Blepharospasm	Bloating	Blood in stool	Blurred vision	Blushing	Boil	Bone fracture	Bone tumor	Bowel obstruction	Bradycardia	Braxton Hicks contractions	Breakthrough bleeding	Breast pain	Bronchitis	Bruise	Bruxism	Bunion	Burn	Burning Chest Pain	Burning mouth syndrome	Candidiasis	Canker sore	Cardiac arrest	Carpal tunnel syndrome	Cataplexy	Cataract	Chancre	Cheilitis	Chest pain	Chills	Chorea	Chronic pain	Cirrhosis	Cleft lip and cleft palate	Clouding of consciousness	Cluster headache	Colitis	Coma	Common cold	Compulsive behavior	Compulsive hoarding	Confusion	Congenital heart defect	Conjunctivitis	Constipation	Convulsion	Cough	Crackles	Cramp	Crepitus	Croup	Cyanosis	Dandruff	Delayed onset muscle soreness	Dementia	Dentin hypersensitivity	Depersonalization	Depression	Dermatitis	Desquamation	Developmental disability	Diabetes	Diabetic ketoacidosis	Diarrhoea	Dizziness	Dry eye syndrome	Dysautonomia	Dysgeusia	Dysmenorrhea	Dyspareunia	Dysphagia	Dysphoria	Dystonia	Dysuria	Ear pain	Eczema	Edema	Encephalitis	Encephalopathy	Epidermoid cyst	Epilepsy	Epiphora	Erectile dysfunction	Erythema	Erythema chronicum migrans	Esophagitis	Excessive daytime sleepiness	Eye pain	Eye strain	Facial nerve paralysis	Facial swelling	Fasciculation	Fatigue	Fatty liver disease	Fecal incontinence	Fever	Fibrillation	Fibrocystic breast changes	Fibromyalgia	Flatulence	Floater	Focal seizure	Folate deficiency	Food craving	Food intolerance	Frequent urination	Gastroesophageal reflux disease	Gastroparesis	Generalized anxiety disorder	Gingival recession	Gingivitis	Globus pharyngis	Goitre	Gout	Grandiosity	Granuloma	Guilt	Hair loss	Halitosis	Hay fever	Headache	Heart arrhythmia	Heart murmur	Heartburn	Hematochezia	Hematoma	Hematuria	Hemolysis	Hemoptysis	Hemorrhoids	Hepatic encephalopathy	Hepatitis	Hepatotoxicity	Hiccup	Hip pain	Hives	Hot flash	Hydrocephalus	Hypercalcaemia	Hypercapnia	Hypercholesterolemia	Hyperemesis gravidarum	Hyperglycemia	Hyperkalemia	Hyperlipidemia	Hypermobility	Hyperpigmentation	Hypersomnia	Hypertension	Hyperthermia	Hyperthyroidism	Hypertriglyceridemia	Hypertrophy	Hyperventilation	Hypocalcaemia	Hypochondriasis	Hypoglycemia	Hypogonadism	Hypokalemia	Hypomania	Hyponatremia	Hypotension	Hypothyroidism	Hypoxemia	Hypoxia	Impetigo	Implantation bleeding	Impulsivity	Indigestion	Infection	Inflammation	Inflammatory bowel disease	Ingrown hair	Insomnia	Insulin resistance	Intermenstrual bleeding	Intracranial pressure	Iron deficiency	Irregular menstruation	Itch	Jaundice	Kidney failure	Kidney stone	Knee Pain	Kyphosis	Lactose intolerance	Laryngitis	Leg cramps	Lesion	Leukorrhea	Lightheadedness	Low back pain	Low-grade fever	Loss of taste or smell	Major depressive disorder	Malabsorption	Male infertility	Manic Disorder	Melasma	Melena	Meningitis	Menorrhagia	Middle back pain	Migraine	Milium	Mitral insufficiency	Mood disorder	Mood swing	Morning sickness	Motion sickness	Mouth ulcer	Muscle atrophy	Muscle weakness	Myalgia	Mydriasis	Myocardial infarction	Myoclonus	Nasal congestion	Nasal polyp	Nausea	Neck mass	Neck pain	Neonatal jaundice	Nerve injury	Neuralgia	Neutropenia	Night sweats	Night terror	Nocturnal enuresis	Nodule	Nosebleed	Nystagmus	Obesity	Onychorrhexis	Oral candidiasis	Orthostatic hypotension	Osteopenia	Osteophyte	Osteoporosis	Otitis	Otitis externa	Otitis media	Pain	Palpitations	Panic attack	Papule	Paranoia	Paresthesia	Pelvic inflammatory disease	Pericarditis	Periodontal disease	Periorbital puffiness	Peripheral neuropathy	Perspiration	Petechia	Phlegm	Photodermatitis	Photophobia	Photopsia	Pleural effusion	Pleurisy	Pneumonia	Podalgia	Polycythemia	Polydipsia	Polyneuropathy	Polyuria	Poor posture	Post-nasal drip	Postural orthostatic tachycardia syndrome	Prediabetes	Proteinuria	Pruritus ani	Psychosis	Ptosis	Pulmonary edema	Pulmonary hypertension	Purpura	Pus	Pyelonephritis	Radiculopathy	Rash on skin	Rectal pain	Rectal prolapse	Red eye	Renal colic	Restless legs syndrome	Rheum	Rhinitis	Rhinorrhea	Rosacea	Round ligament pain	Rumination	Scar	Sciatica	Scoliosis	Seborrheic dermatitis	Self-harm	Sensitivity to sound	Sexual dysfunction	Shallow breathing	Sharp pain	Shivering	Shortness of breath	Shyness	Sinusitis	Skin condition	Skin tag	Skin ulcer	Sleep apnea	Sleep deprivation	Sleep disorder	Snoring	Sore throat	Spasticity	Splenomegaly	Sputum	Stomach rumble	Strabismus	Stretch marks	Stridor	Stroke	Stuttering	Subdural hematoma	Suicidal ideation	Swelling	Swollen feet	Swollen lymph nodes	Syncope	Tachycardia	Tachypnea	Telangiectasia	Tenderness	Testicular pain	Tiredness	Thrombocytopenia	Thyroid nodule	Tic	Tinnitus	Tonsillitis	Toothache	Tremor	Trichoptilosis	Tumor	Type 2 diabetes	Unconsciousness	Underweight	Upper respiratory tract infection	Urethritis	Urinary incontinence	Urinary tract infection	Urinary urgency	Uterine contraction	Vaginal bleeding	Vaginal discharge	Vaginitis	Varicose veins	Vasculitis	Ventricular fibrillation	Ventricular tachycardia	Vertigo	Viral pneumonia	Visual acuity	Vomiting	Wart	Water retention	Weakness	Weight gain	Wheeze	Xeroderma	Xerostomia	Yawn	hyperhidrosis	pancreatiti
2020-01-05	0	False	84	88	59	97	29	22	80	33	72	60	66	27	73	43	85	50	78	60	4	94	53	100	89	58	100	64	41	3	41	38	76	34	21	0	47	49	100	90	63	51	16	77	63	95	0	75	77	90	64	66	48	61	49	67	65	62	100	90	100	76	69	100	76	40	52	70	82	77	95	52	87	34	84	67	68	54	81	85	35	0	70	80	49	27	41	56	76	21	69	90	61	57	66	95	60	88	45	80	60	61	96	46	81	81	30	83	94	100	32	89	35	59	19	57	48	83	51	87	54	97	87	64	64	79	44	87	62	62	91	0	89	23	83	74	0	100	43	79	90	40	38	80	0	87	56	62	69	33	94	54	64	34	79	35	24	83	67	42	96	15	73	67	99	100	35	69	85	79	82	70	46	79	32	57	67	74	85	40	74	97	86	80	82	0	16	47	75	60	64	81	62	66	60	58	61	83	48	76	42	46	9	76	69	67	94	67	69	85	50	45	74	88	34	91	85	89	66	73	77	88	0	55	93	0	64	57	84	98	100	74	85	85	73	83	75	69	85	8	0	58	80	73	83	34	73	88	76	95	89	45	58	85	38	84	89	67	48	61	36	67	49	82	79	55	94	93	92	30	57	84	51	99	34	41	76	71	71	56	0	56	77	67	99	74	96	48	64	97	82	72	66	58	65	67	67	82	0	85	43	23	67	0	55	0	68	58	62	0	27	36	14	44	63	73	58	76	46	63	80	58	56	89	43	61	58	65	73	67	66	81	38	54	30	83	38	89	75	49	100	94	90	91	26	11	45	92	95	72	20	47	100	92	65	49	100	81	74	99	38	60	39	22	33	65	60	44	65	59	70	44	71	35	76	88	70	46	64	87	62	80	67	52	81	93	99	89	68	70	89	90	65	46	48	71	87	100	67	31	86	100	100	64	82	45	47	85	23	41	90	74	70	88	87	37	30	82	78	16	0
2020-01-12	75	False	84	89	69	79	65	14	79	44	70	93	73	33	75	48	85	74	65	52	8	94	57	67	99	74	98	61	54	15	44	56	69	81	70	0	52	51	99	83	24	32	13	80	68	95	0	100	76	82	91	71	49	67	52	66	64	42	90	82	85	73	88	80	72	52	54	81	83	81	93	100	95	61	95	60	61	52	88	91	88	0	55	80	47	17	31	0	81	30	69	95	72	54	63	83	84	86	47	79	100	58	23	46	89	82	48	40	97	50	40	84	53	54	22	46	100	83	68	75	70	82	75	76	64	84	74	87	90	57	84	0	92	65	83	77	0	50	74	80	100	71	41	81	18	79	71	36	36	28	89	63	81	29	87	59	34	74	14	100	96	6	68	67	82	92	32	67	67	88	74	69	41	79	59	53	74	53	92	31	69	90	82	77	76	0	16	63	42	68	65	87	56	57	44	66	66	86	75	94	39	0	9	77	100	67	49	74	80	100	62	38	75	96	61	85	80	92	78	70	78	64	29	66	84	49	63	55	80	98	88	82	74	69	66	83	85	77	91	31	0	73	62	54	55	33	84	75	60	94	86	100	37	66	73	84	86	76	49	90	28	47	47	78	66	39	82	66	87	85	100	72	61	88	34	69	87	75	86	73	22	45	96	79	52	88	74	43	78	100	97	71	73	46	61	73	78	100	0	100	29	54	58	0	89	0	57	57	55	50	32	49	19	34	26	0	68	73	74	61	88	72	62	89	42	82	62	73	70	68	100	93	82	64	87	86	43	95	61	93	88	82	92	90	37	20	39	51	89	78	19	71	84	69	71	36	94	79	58	97	34	64	64	27	70	67	55	57	72	59	56	72	75	37	72	88	87	58	76	95	77	74	74	66	93	99	91	86	85	0	95	96	71	51	26	50	94	85	21	20	74	85	72	66	84	49	67	87	29	43	91	68	73	84	89	66	51	88	63	16	0
2020-01-19	39	False	93	90	100	66	39	0	97	52	71	100	98	34	100	36	90	72	77	87	6	93	75	40	89	70	95	74	35	5	42	52	78	34	42	0	49	62	98	96	25	17	14	91	51	94	0	91	79	91	71	81	50	61	42	65	72	82	84	88	79	88	94	93	75	49	52	68	88	85	92	45	96	58	88	62	59	72	87	86	56	0	70	80	51	25	25	43	70	82	72	95	48	52	70	98	64	88	66	96	30	62	24	48	86	92	30	60	93	72	45	83	28	55	30	48	80	83	66	75	62	95	100	76	63	94	54	75	31	54	84	0	94	57	81	60	22	84	43	78	64	58	43	95	57	100	77	60	64	25	50	60	83	40	86	83	24	80	22	21	100	19	72	73	90	86	30	67	68	81	81	56	55	84	60	59	76	78	94	40	69	97	83	56	62	0	19	63	83	85	87	90	100	52	62	70	67	88	64	87	66	0	9	82	70	89	75	68	97	87	51	44	78	93	70	74	82	90	64	72	87	65	61	55	100	34	65	62	83	94	96	84	83	66	74	92	31	64	89	0	0	84	68	62	58	30	80	79	79	70	96	45	0	59	38	96	100	95	56	80	26	67	50	58	67	63	89	52	92	74	70	79	76	91	50	21	91	100	87	67	46	66	70	86	78	84	76	34	62	99	90	81	78	77	69	65	75	61	0	79	52	23	63	0	72	17	76	58	60	52	32	69	14	42	55	0	59	83	80	13	93	73	59	78	95	85	56	100	91	72	66	87	49	89	38	84	50	91	65	84	85	92	79	98	52	21	50	92	98	100	20	66	92	80	71	90	86	84	89	100	35	67	79	37	41	100	57	64	73	51	75	82	76	30	73	91	88	61	84	95	78	59	75	81	95	95	91	100	80	0	96	91	28	63	34	63	77	93	30	52	92	97	90	67	100	76	63	91	37	41	93	72	63	77	91	48	38	86	83	19	0
2020-01-26	0	False	89	81	77	94	37	0	87	59	68	69	70	24	90	42	97	45	97	81	9	94	78	39	84	96	90	77	35	2	47	38	81	83	70	34	53	60	93	87	61	33	18	61	53	98	0	44	74	87	85	78	43	62	86	76	72	68	39	90	81	78	53	81	75	48	63	70	95	80	71	44	89	38	81	66	69	53	90	87	48	0	68	77	50	41	64	41	80	80	81	90	53	55	56	92	72	100	70	90	86	59	23	59	90	87	68	63	90	69	37	78	27	63	37	71	89	96	64	78	68	85	87	75	71	81	86	78	70	48	92	0	88	66	71	67	43	62	33	80	84	100	45	78	37	95	76	69	88	44	81	78	78	44	86	61	35	94	29	0	85	21	78	71	79	88	40	70	54	73	72	62	59	79	93	81	70	69	83	46	57	97	81	66	58	0	23	100	58	62	67	81	66	63	55	72	89	94	61	93	67	0	35	80	99	92	61	76	81	93	69	56	100	89	76	76	85	95	79	70	74	73	0	63	90	33	62	53	71	100	91	85	95	75	74	98	38	78	86	24	0	70	54	49	35	40	74	76	74	86	93	58	56	72	31	99	81	77	61	89	40	65	71	55	71	40	86	54	90	29	81	76	69	87	29	80	86	84	83	66	22	100	91	74	86	89	100	69	88	96	96	75	68	61	85	55	64	86	0	95	51	100	59	42	60	68	76	58	59	50	27	38	14	49	53	71	31	70	68	25	68	65	58	92	100	85	59	78	82	74	66	78	89	48	59	75	74	88	85	76	88	86	100	90	38	21	57	65	100	71	21	100	80	76	66	65	81	99	88	90	37	55	68	37	55	88	57	88	76	48	100	51	73	35	72	94	93	71	43	80	85	65	77	85	100	94	84	79	67	45	91	87	54	47	20	66	66	80	22	81	76	83	95	63	83	100	55	92	36	70	87	67	58	67	88	79	81	100	83	15	0
2020-02-02	51	False	94	84	70	100	28	7	86	40	70	72	80	31	71	53	92	66	76	78	6	92	73	48	83	90	91	68	41	4	43	36	92	66	60	0	49	100	90	82	73	33	14	68	56	96	0	65	72	85	77	76	45	71	100	89	82	40	70	87	87	69	65	77	70	42	85	81	87	74	91	81	82	52	90	57	62	86	85	84	41	0	83	80	49	31	96	55	80	100	82	87	66	54	72	80	88	96	72	84	29	59	0	54	93	82	39	41	93	83	34	78	87	50	22	100	84	95	59	70	73	92	82	84	75	77	43	87	30	56	80	0	81	22	78	54	22	58	41	77	73	61	45	89	18	87	87	49	62	44	76	55	70	47	86	61	69	100	29	61	94	27	64	71	81	70	36	68	82	78	76	82	50	80	96	89	96	60	87	85	71	91	78	58	76	0	21	61	65	76	80	98	57	60	100	72	72	91	46	95	68	0	70	78	60	92	61	75	85	78	68	48	92	86	43	73	83	93	97	74	76	66	30	76	96	33	61	66	77	88	87	67	86	80	70	89	81	78	86	16	0	71	78	60	45	44	86	89	76	68	84	29	37	71	55	82	77	77	59	80	30	30	67	72	81	47	86	54	87	29	48	100	73	85	24	50	76	87	72	88	22	91	64	80	74	88	88	38	81	91	95	77	74	73	85	100	69	68	0	97	60	99	63	0	66	51	91	76	58	50	36	73	12	55	35	71	50	71	81	62	85	63	72	83	50	76	59	66	68	55	64	78	84	100	66	84	52	90	79	66	86	82	84	79	25	31	57	69	90	76	25	72	78	72	62	69	81	88	94	86	40	78	80	35	47	82	50	100	75	67	66	51	73	28	78	92	86	74	71	92	58	74	68	65	97	97	89	85	81	45	93	90	90	57	7	56	92	69	65	61	77	96	98	63	83	67	88	87	29	71	85	69	65	72	87	59	37	62	73	19	0
2020-02-09	51	False	93	84	81	91	57	7	88	50	72	50	86	31	86	59	93	49	72	50	7	92	82	49	88	63	92	79	71	5	42	38	82	66	61	69	56	40	95	91	49	33	12	62	70	96	0	80	74	83	100	100	49	69	64	84	78	62	61	80	84	79	65	75	73	42	64	60	91	100	87	71	92	62	93	62	69	100	93	91	76	100	68	82	46	34	16	55	90	80	75	93	100	55	78	94	75	94	57	80	73	59	23	42	96	89	39	54	98	64	37	87	34	58	22	78	47	98	86	51	62	97	81	80	72	81	100	100	81	61	93	0	74	0	67	65	0	62	50	77	78	61	44	100	18	80	89	59	52	45	67	91	81	42	95	85	70	65	43	61	94	15	72	80	81	84	42	71	95	85	70	71	42	77	73	80	95	72	91	47	87	89	82	85	81	0	24	76	80	75	73	100	66	69	85	79	72	76	56	91	64	45	18	79	83	97	58	82	77	81	78	59	99	75	57	74	84	100	100	75	87	72	0	63	88	100	63	70	100	91	88	93	86	77	75	85	47	81	91	8	0	60	67	99	53	33	74	77	73	82	95	15	37	90	80	89	74	73	75	58	31	78	69	76	71	47	84	32	87	29	89	86	68	98	33	50	87	73	71	82	22	83	73	100	61	88	83	39	100	97	95	78	100	66	94	69	87	88	0	84	57	78	57	21	53	17	100	55	57	0	26	100	19	41	53	36	38	75	81	62	79	90	60	97	49	82	81	74	77	70	61	82	37	70	45	97	100	84	86	92	88	87	84	79	38	52	53	56	89	83	24	64	92	90	68	77	94	100	77	79	40	75	61	35	32	89	55	77	79	53	81	65	73	35	78	100	99	84	71	81	95	88	92	71	89	92	100	85	71	0	100	89	36	49	34	64	85	85	65	20	72	83	96	72	88	91	68	93	33	51	94	67	81	68	85	49	74	66	87	18	91
2020-02-16	25	False	88	91	70	66	46	0	100	36	72	66	71	25	73	52	99	66	68	100	5	96	83	48	100	99	95	77	63	5	46	53	86	16	100	34	56	71	97	100	61	17	11	54	94	100	0	87	81	98	89	81	48	84	50	76	84	51	75	82	91	83	67	81	75	39	63	87	90	91	81	64	100	56	100	59	69	85	88	100	54	0	77	84	53	28	87	27	88	50	78	92	59	53	97	87	74	81	71	98	72	60	23	62	93	89	58	81	93	86	40	87	33	49	29	69	75	100	78	92	84	88	88	88	73	92	47	90	50	54	87	50	87	44	100	66	0	73	58	88	90	83	43	90	18	92	83	61	57	64	100	69	72	35	81	69	23	70	21	40	99	18	69	74	88	72	40	68	82	92	75	93	51	100	87	67	94	83	89	100	80	94	81	73	75	99	20	59	100	95	100	81	69	63	65	74	90	94	66	100	55	0	69	100	48	77	72	71	91	98	74	44	81	95	100	88	83	100	59	74	75	71	29	71	95	33	68	60	84	83	96	79	100	73	79	79	26	73	83	16	0	79	60	60	73	39	80	83	100	81	100	57	92	79	43	100	93	67	66	80	30	77	57	79	64	100	86	90	86	43	53	91	69	95	43	60	88	80	83	90	0	36	94	96	67	87	97	66	89	98	96	69	75	71	88	69	73	80	87	69	77	44	54	21	63	17	82	53	55	100	32	87	14	81	61	0	100	81	77	0	89	74	70	100	51	74	66	73	75	88	92	85	89	39	37	85	74	97	71	71	85	99	85	83	50	51	61	62	94	67	22	59	85	65	79	90	91	84	94	81	40	72	68	29	55	96	54	85	77	59	39	51	78	33	73	98	100	54	58	78	71	81	97	78	82	95	87	94	66	45	96	92	36	60	67	58	94	91	14	20	73	93	81	70	90	83	83	100	28	100	99	75	76	71	87	58	51	76	93	16	0
2020-02-23	0	False	99	87	89	65	36	7	92	39	75	72	92	30	77	69	100	100	100	87	12	97	99	38	89	75	99	67	65	7	44	37	100	48	58	0	59	73	92	87	60	16	15	46	100	95	0	35	82	83	76	83	62	79	82	75	75	56	73	83	81	84	67	81	73	35	49	81	100	88	86	68	89	68	74	55	70	77	100	87	59	0	80	76	51	43	100	0	87	68	77	89	51	54	90	93	93	66	89	90	84	64	23	68	98	83	75	100	97	80	39	88	78	48	43	69	70	95	66	98	68	84	91	78	73	87	46	87	58	51	87	0	100	43	83	57	0	79	32	86	73	48	42	98	0	87	84	70	50	78	56	82	82	57	77	100	23	73	56	59	93	26	69	73	79	68	51	65	78	100	72	58	50	74	82	67	99	84	90	37	71	93	84	44	100	0	29	72	73	73	69	93	82	59	56	79	93	90	74	92	55	43	42	82	81	84	63	84	99	100	54	44	75	84	65	84	87	97	74	73	78	71	29	69	85	0	61	58	78	78	85	100	88	82	68	93	58	77	82	0	6	100	100	79	75	36	86	80	81	77	95	42	72	100	54	79	89	88	57	79	29	80	74	61	63	52	84	66	86	84	86	91	66	88	59	68	100	85	98	92	0	35	90	100	62	97	78	51	92	94	92	77	62	69	86	63	73	90	0	80	58	86	60	0	71	33	90	51	58	0	36	56	16	67	51	0	36	77	72	24	90	71	62	94	53	86	100	93	80	56	81	94	76	38	43	96	90	100	55	83	86	90	83	84	36	30	60	37	90	80	24	62	90	86	79	63	90	100	98	90	38	90	59	42	38	68	59	95	79	56	70	69	76	37	82	90	88	100	75	74	88	66	77	100	99	100	87	79	79	44	96	100	53	84	32	61	75	90	28	49	78	95	95	73	79	55	70	100	37	52	89	71	77	71	89	65	43	77	97	20	0
